Token Type: 0 | Token Value: +
Token Type: 1 | Token Value: -
Token Type: 2 | Token Value: P
Token Type: 2 | Token Value: r
Token Type: 2 | Token Value: o
Token Type: 2 | Token Value: g
Token Type: 2 | Token Value: r
Token Type: 2 | Token Value: a
Token Type: 2 | Token Value: m
Token Type: 2 | Token Value: t
Token Type: 2 | Token Value: e
Token Type: 2 | Token Value: s
Token Type: 2 | Token Value: t
Token Type: 2 | Token Value: (
Token Type: 2 | Token Value: i
Token Type: 2 | Token Value: n
Token Type: 2 | Token Value: p
Token Type: 2 | Token Value: u
Token Type: 2 | Token Value: t
Token Type: 2 | Token Value: .
Token Type: 2 | Token Value: o
Token Type: 2 | Token Value: u
Token Type: 2 | Token Value: t
Token Type: 2 | Token Value: p
Token Type: 2 | Token Value: u
Token Type: 2 | Token Value: t
Token Type: 2 | Token Value: )
Token Type: 2 | Token Value: ;
Token Type: 2 | Token Value: B
Token Type: 2 | Token Value: e
Token Type: 2 | Token Value: g
Token Type: 2 | Token Value: i
Token Type: 2 | Token Value: n
Token Type: 2 | Token Value: W
Token Type: 2 | Token Value: r
Token Type: 2 | Token Value: i
Token Type: 2 | Token Value: t
Token Type: 2 | Token Value: e
Token Type: 2 | Token Value: l
Token Type: 2 | Token Value: n
Token Type: 2 | Token Value: (
Token Type: 2 | Token Value: '
Token Type: 2 | Token Value: H
Token Type: 2 | Token Value: e
Token Type: 2 | Token Value: l
Token Type: 2 | Token Value: l
Token Type: 2 | Token Value: o
Token Type: 2 | Token Value: W
Token Type: 2 | Token Value: o
Token Type: 2 | Token Value: r
Token Type: 2 | Token Value: l
Token Type: 2 | Token Value: d
Token Type: 2 | Token Value: !
Token Type: 2 | Token Value: '
Token Type: 2 | Token Value: )
Token Type: 2 | Token Value: ;
Token Type: 2 | Token Value: r
Token Type: 2 | Token Value: e
Token Type: 2 | Token Value: a
Token Type: 2 | Token Value: d
Token Type: 2 | Token Value: l
Token Type: 2 | Token Value: n
Token Type: 2 | Token Value: _
Token Type: 2 | Token Value: E
Token Type: 2 | Token Value: n
Token Type: 2 | Token Value: d
Token Type: 2 | Token Value: .
